Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,13,chart13_Seed10_d_227.patch,1,22,0
Chart,13,chart13_Seed10_d_227.patch,2,22,0
Chart,13,chart13_Seed10_d_227.patch,3,23,0
Chart,13,chart13_Seed10_d_227.patch,4,22,0
Chart,13,chart13_Seed10_d_227.patch,5,22,0
Chart,13,chart13_Seed10_d_227.patch,6,22,0
Chart,13,chart13_Seed10_d_227.patch,7,23,0
Chart,13,chart13_Seed10_d_227.patch,8,22,0
Chart,13,chart13_Seed10_d_227.patch,9,22,0
Chart,13,chart13_Seed10_d_227.patch,10,21,0
Chart,13,chart13_Seed13_d_233.patch,1,22,0
Chart,13,chart13_Seed13_d_233.patch,2,22,0
Chart,13,chart13_Seed13_d_233.patch,3,23,0
Chart,13,chart13_Seed13_d_233.patch,4,22,0
Chart,13,chart13_Seed13_d_233.patch,5,22,0
Chart,13,chart13_Seed13_d_233.patch,6,22,0
Chart,13,chart13_Seed13_d_233.patch,7,23,0
Chart,13,chart13_Seed13_d_233.patch,8,22,0
Chart,13,chart13_Seed13_d_233.patch,9,22,0
Chart,13,chart13_Seed13_d_233.patch,10,21,0
Chart,13,chart13_Seed1_d_232.patch,1,22,0
Chart,13,chart13_Seed1_d_232.patch,2,22,0
Chart,13,chart13_Seed1_d_232.patch,3,23,0
Chart,13,chart13_Seed1_d_232.patch,4,22,0
Chart,13,chart13_Seed1_d_232.patch,5,22,0
Chart,13,chart13_Seed1_d_232.patch,6,22,0
Chart,13,chart13_Seed1_d_232.patch,7,23,0
Chart,13,chart13_Seed1_d_232.patch,8,22,0
Chart,13,chart13_Seed1_d_232.patch,9,22,0
Chart,13,chart13_Seed1_d_232.patch,10,21,0
Chart,13,chart13_Seed2_d_226.patch,1,22,0
Chart,13,chart13_Seed2_d_226.patch,2,22,0
Chart,13,chart13_Seed2_d_226.patch,3,23,0
Chart,13,chart13_Seed2_d_226.patch,4,22,0
Chart,13,chart13_Seed2_d_226.patch,5,22,0
Chart,13,chart13_Seed2_d_226.patch,6,22,0
Chart,13,chart13_Seed2_d_226.patch,7,23,0
Chart,13,chart13_Seed2_d_226.patch,8,22,0
Chart,13,chart13_Seed2_d_226.patch,9,22,0
Chart,13,chart13_Seed2_d_226.patch,10,21,0
Chart,13,chart13_Seed3_d_230.patch,1,22,0
Chart,13,chart13_Seed3_d_230.patch,2,22,0
Chart,13,chart13_Seed3_d_230.patch,3,23,0
Chart,13,chart13_Seed3_d_230.patch,4,22,0
Chart,13,chart13_Seed3_d_230.patch,5,22,0
Chart,13,chart13_Seed3_d_230.patch,6,22,0
Chart,13,chart13_Seed3_d_230.patch,7,23,0
Chart,13,chart13_Seed3_d_230.patch,8,22,0
Chart,13,chart13_Seed3_d_230.patch,9,22,0
Chart,13,chart13_Seed3_d_230.patch,10,21,0
Chart,13,chart13_Seed4_r_233_260.patch,1,22,0
Chart,13,chart13_Seed4_r_233_260.patch,2,22,0
Chart,13,chart13_Seed4_r_233_260.patch,3,23,0
Chart,13,chart13_Seed4_r_233_260.patch,4,22,0
Chart,13,chart13_Seed4_r_233_260.patch,5,22,0
Chart,13,chart13_Seed4_r_233_260.patch,6,22,0
Chart,13,chart13_Seed4_r_233_260.patch,7,23,0
Chart,13,chart13_Seed4_r_233_260.patch,8,22,0
Chart,13,chart13_Seed4_r_233_260.patch,9,22,0
Chart,13,chart13_Seed4_r_233_260.patch,10,21,0
Chart,13,chart13_Seed5_r_227_251.patch,1,22,0
Chart,13,chart13_Seed5_r_227_251.patch,2,22,0
Chart,13,chart13_Seed5_r_227_251.patch,3,23,0
Chart,13,chart13_Seed5_r_227_251.patch,4,22,0
Chart,13,chart13_Seed5_r_227_251.patch,5,22,0
Chart,13,chart13_Seed5_r_227_251.patch,6,22,0
Chart,13,chart13_Seed5_r_227_251.patch,7,23,0
Chart,13,chart13_Seed5_r_227_251.patch,8,22,0
Chart,13,chart13_Seed5_r_227_251.patch,9,22,0
Chart,13,chart13_Seed5_r_227_251.patch,10,21,0
Chart,1,chart1_Seed17_r_601_1.patch,1,88,1
Chart,1,chart1_Seed17_r_601_1.patch,2,85,0
Chart,1,chart1_Seed17_r_601_1.patch,3,73,0
Chart,1,chart1_Seed17_r_601_1.patch,4,82,1
Chart,1,chart1_Seed17_r_601_1.patch,5,76,0
Chart,1,chart1_Seed17_r_601_1.patch,6,83,1
Chart,1,chart1_Seed17_r_601_1.patch,7,82,0
Chart,1,chart1_Seed17_r_601_1.patch,8,69,1
Chart,1,chart1_Seed17_r_601_1.patch,9,79,1
Chart,1,chart1_Seed17_r_601_1.patch,10,77,1
Chart,1,chart1_Seed1_d_601.patch,1,88,1
Chart,1,chart1_Seed1_d_601.patch,2,85,0
Chart,1,chart1_Seed1_d_601.patch,3,73,0
Chart,1,chart1_Seed1_d_601.patch,4,82,1
Chart,1,chart1_Seed1_d_601.patch,5,76,0
Chart,1,chart1_Seed1_d_601.patch,6,83,1
Chart,1,chart1_Seed1_d_601.patch,7,82,0
Chart,1,chart1_Seed1_d_601.patch,8,69,1
Chart,1,chart1_Seed1_d_601.patch,9,79,1
Chart,1,chart1_Seed1_d_601.patch,10,77,1
Chart,1,chart1_Seed20_r_603_177.patch,1,88,1
Chart,1,chart1_Seed20_r_603_177.patch,2,85,0
Chart,1,chart1_Seed20_r_603_177.patch,3,73,0
Chart,1,chart1_Seed20_r_603_177.patch,4,82,1
Chart,1,chart1_Seed20_r_603_177.patch,5,76,0
Chart,1,chart1_Seed20_r_603_177.patch,6,83,1
Chart,1,chart1_Seed20_r_603_177.patch,7,82,0
Chart,1,chart1_Seed20_r_603_177.patch,8,69,1
Chart,1,chart1_Seed20_r_603_177.patch,9,79,1
Chart,1,chart1_Seed20_r_603_177.patch,10,77,1
Chart,1,chart1_Seed3_d_603.patch,1,88,1
Chart,1,chart1_Seed3_d_603.patch,2,85,0
Chart,1,chart1_Seed3_d_603.patch,3,73,0
Chart,1,chart1_Seed3_d_603.patch,4,82,1
Chart,1,chart1_Seed3_d_603.patch,5,76,0
Chart,1,chart1_Seed3_d_603.patch,6,83,1
Chart,1,chart1_Seed3_d_603.patch,7,82,0
Chart,1,chart1_Seed3_d_603.patch,8,69,1
Chart,1,chart1_Seed3_d_603.patch,9,79,1
Chart,1,chart1_Seed3_d_603.patch,10,77,1
Chart,1,chart1_Seed4_d_602.patch,1,88,1
Chart,1,chart1_Seed4_d_602.patch,2,85,0
Chart,1,chart1_Seed4_d_602.patch,3,73,0
Chart,1,chart1_Seed4_d_602.patch,4,82,1
Chart,1,chart1_Seed4_d_602.patch,5,76,0
Chart,1,chart1_Seed4_d_602.patch,6,83,1
Chart,1,chart1_Seed4_d_602.patch,7,82,0
Chart,1,chart1_Seed4_d_602.patch,8,69,1
Chart,1,chart1_Seed4_d_602.patch,9,79,1
Chart,1,chart1_Seed4_d_602.patch,10,77,1
Chart,1,chart1_Seed8_r_601_12.patch,1,88,1
Chart,1,chart1_Seed8_r_601_12.patch,2,85,0
Chart,1,chart1_Seed8_r_601_12.patch,3,73,0
Chart,1,chart1_Seed8_r_601_12.patch,4,82,1
Chart,1,chart1_Seed8_r_601_12.patch,5,76,0
Chart,1,chart1_Seed8_r_601_12.patch,6,83,1
Chart,1,chart1_Seed8_r_601_12.patch,7,82,0
Chart,1,chart1_Seed8_r_601_12.patch,8,69,1
Chart,1,chart1_Seed8_r_601_12.patch,9,79,1
Chart,1,chart1_Seed8_r_601_12.patch,10,77,1
Chart,25,chart25_Seed10_r_20_86.patch,1,10,1
Chart,25,chart25_Seed10_r_20_86.patch,2,27,5
Chart,25,chart25_Seed10_r_20_86.patch,3,21,2
Chart,25,chart25_Seed10_r_20_86.patch,4,10,1
Chart,25,chart25_Seed10_r_20_86.patch,5,26,5
Chart,25,chart25_Seed10_r_20_86.patch,6,18,3
Chart,25,chart25_Seed10_r_20_86.patch,7,10,0
Chart,25,chart25_Seed10_r_20_86.patch,8,13,2
Chart,25,chart25_Seed10_r_20_86.patch,9,9,0
Chart,25,chart25_Seed10_r_20_86.patch,10,17,1
Chart,25,chart25_Seed13_r_20_87.patch,1,10,1
Chart,25,chart25_Seed13_r_20_87.patch,2,27,5
Chart,25,chart25_Seed13_r_20_87.patch,3,21,2
Chart,25,chart25_Seed13_r_20_87.patch,4,10,1
Chart,25,chart25_Seed13_r_20_87.patch,5,26,5
Chart,25,chart25_Seed13_r_20_87.patch,6,18,3
Chart,25,chart25_Seed13_r_20_87.patch,7,10,0
Chart,25,chart25_Seed13_r_20_87.patch,8,13,2
Chart,25,chart25_Seed13_r_20_87.patch,9,9,0
Chart,25,chart25_Seed13_r_20_87.patch,10,17,1
Chart,25,chart25_Seed1_r_21_23.patch,1,10,1
Chart,25,chart25_Seed1_r_21_23.patch,2,27,9
Chart,25,chart25_Seed1_r_21_23.patch,3,21,5
Chart,25,chart25_Seed1_r_21_23.patch,4,10,1
Chart,25,chart25_Seed1_r_21_23.patch,5,26,5
Chart,25,chart25_Seed1_r_21_23.patch,6,18,4
Chart,25,chart25_Seed1_r_21_23.patch,7,10,2
Chart,25,chart25_Seed1_r_21_23.patch,8,13,2
Chart,25,chart25_Seed1_r_21_23.patch,9,9,2
Chart,25,chart25_Seed1_r_21_23.patch,10,17,1
Chart,25,chart25_Seed2_d_20.patch,1,10,1
Chart,25,chart25_Seed2_d_20.patch,2,27,9
Chart,25,chart25_Seed2_d_20.patch,3,21,5
Chart,25,chart25_Seed2_d_20.patch,4,10,1
Chart,25,chart25_Seed2_d_20.patch,5,26,5
Chart,25,chart25_Seed2_d_20.patch,6,18,4
Chart,25,chart25_Seed2_d_20.patch,7,10,2
Chart,25,chart25_Seed2_d_20.patch,8,13,2
Chart,25,chart25_Seed2_d_20.patch,9,9,2
