Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_100_1_0.patch,1,67,1
Chart,1,chart1_100_1_0.patch,2,73,0
Chart,1,chart1_100_1_0.patch,3,71,0
Chart,1,chart1_100_1_0.patch,4,78,0
Chart,1,chart1_100_1_0.patch,5,73,0
Chart,1,chart1_100_1_0.patch,6,67,0
Chart,1,chart1_100_1_0.patch,7,710,0
Chart,1,chart1_100_1_0.patch,8,1624,0
Chart,1,chart1_100_1_0.patch,9,71,0
Chart,1,chart1_100_1_0.patch,10,67,0
Chart,1,chart1_100_2_0.patch,1,67,0
Chart,1,chart1_100_2_0.patch,2,73,0
Chart,1,chart1_100_2_0.patch,3,71,0
Chart,1,chart1_100_2_0.patch,4,78,0
Chart,1,chart1_100_2_0.patch,5,73,0
Chart,1,chart1_100_2_0.patch,6,67,0
Chart,1,chart1_100_2_0.patch,7,73,0
Chart,1,chart1_100_2_0.patch,8,73,0
Chart,1,chart1_100_2_0.patch,9,71,0
Chart,1,chart1_100_2_0.patch,10,67,0
Chart,1,chart1_100_3_0.patch,1,67,0
Chart,1,chart1_100_3_0.patch,2,73,0
Chart,1,chart1_100_3_0.patch,3,71,0
Chart,1,chart1_100_3_0.patch,4,78,0
Chart,1,chart1_100_3_0.patch,5,73,0
Chart,1,chart1_100_3_0.patch,6,67,0
Chart,1,chart1_100_3_0.patch,7,73,0
Chart,1,chart1_100_3_0.patch,8,73,0
Chart,1,chart1_100_3_0.patch,9,71,0
Chart,1,chart1_100_3_0.patch,10,67,0
Chart,1,chart1_100_5_0.patch,1,67,0
Chart,1,chart1_100_5_0.patch,2,73,0
Chart,1,chart1_100_5_0.patch,3,71,0
Chart,1,chart1_100_5_0.patch,4,78,0
Chart,1,chart1_100_5_0.patch,5,73,0
Chart,1,chart1_100_5_0.patch,6,67,0
Chart,1,chart1_100_5_0.patch,7,73,0
Chart,1,chart1_100_5_0.patch,8,73,0
Chart,1,chart1_100_5_0.patch,9,71,0
Chart,1,chart1_100_5_0.patch,10,67,0
Chart,1,chart1_20_1_0.patch,1,67,0
Chart,1,chart1_20_1_0.patch,2,73,0
Chart,1,chart1_20_1_0.patch,3,71,0
Chart,1,chart1_20_1_0.patch,4,78,0
Chart,1,chart1_20_1_0.patch,5,73,0
Chart,1,chart1_20_1_0.patch,6,67,0
Chart,1,chart1_20_1_0.patch,7,73,0
Chart,1,chart1_20_1_0.patch,8,73,0
Chart,1,chart1_20_1_0.patch,9,71,0
Chart,1,chart1_20_1_0.patch,10,67,0
Chart,1,chart1_20_2_0.patch,1,67,0
Chart,1,chart1_20_2_0.patch,2,73,0
Chart,1,chart1_20_2_0.patch,3,71,0
Chart,1,chart1_20_2_0.patch,4,78,0
Chart,1,chart1_20_2_0.patch,5,73,0
Chart,1,chart1_20_2_0.patch,6,67,0
Chart,1,chart1_20_2_0.patch,7,73,0
Chart,1,chart1_20_2_0.patch,8,73,0
Chart,1,chart1_20_2_0.patch,9,71,0
Chart,1,chart1_20_2_0.patch,10,67,0
Chart,1,chart1_20_3_0.patch,1,67,0
Chart,1,chart1_20_3_0.patch,2,73,0
Chart,1,chart1_20_3_0.patch,3,71,0
Chart,1,chart1_20_3_0.patch,4,78,0
Chart,1,chart1_20_3_0.patch,5,73,0
Chart,1,chart1_20_3_0.patch,6,67,0
Chart,1,chart1_20_3_0.patch,7,73,0
Chart,1,chart1_20_3_0.patch,8,73,0
Chart,1,chart1_20_3_0.patch,9,71,0
Chart,1,chart1_20_3_0.patch,10,67,0
Chart,1,chart1_20_4_0.patch,1,67,0
Chart,1,chart1_20_4_0.patch,2,73,0
Chart,1,chart1_20_4_0.patch,3,71,0
Chart,1,chart1_20_4_0.patch,4,78,0
Chart,1,chart1_20_4_0.patch,5,73,0
Chart,1,chart1_20_4_0.patch,6,67,0
Chart,1,chart1_20_4_0.patch,7,73,0
Chart,1,chart1_20_4_0.patch,8,73,0
Chart,1,chart1_20_4_0.patch,9,71,0
Chart,1,chart1_20_4_0.patch,10,67,0
Chart,1,chart1_20_5_0.patch,1,67,0
Chart,1,chart1_20_5_0.patch,2,73,0
Chart,1,chart1_20_5_0.patch,3,71,0
Chart,1,chart1_20_5_0.patch,4,78,0
Chart,1,chart1_20_5_0.patch,5,73,0
Chart,1,chart1_20_5_0.patch,6,67,0
Chart,1,chart1_20_5_0.patch,7,73,0
Chart,1,chart1_20_5_0.patch,8,73,0
Chart,1,chart1_20_5_0.patch,9,71,0
Chart,1,chart1_20_5_0.patch,10,67,0
Chart,1,chart1_40_1_0.patch,1,67,0
Chart,1,chart1_40_1_0.patch,2,73,0
Chart,1,chart1_40_1_0.patch,3,71,0
Chart,1,chart1_40_1_0.patch,4,78,0
Chart,1,chart1_40_1_0.patch,5,73,0
Chart,1,chart1_40_1_0.patch,6,67,0
Chart,1,chart1_40_1_0.patch,7,73,0
Chart,1,chart1_40_1_0.patch,8,73,0
Chart,1,chart1_40_1_0.patch,9,71,0
Chart,1,chart1_40_1_0.patch,10,67,0
Chart,1,chart1_40_2_0.patch,1,67,0
Chart,1,chart1_40_2_0.patch,2,73,0
Chart,1,chart1_40_2_0.patch,3,71,0
Chart,1,chart1_40_2_0.patch,4,78,0
Chart,1,chart1_40_2_0.patch,5,73,0
Chart,1,chart1_40_2_0.patch,6,67,0
Chart,1,chart1_40_2_0.patch,7,73,0
Chart,1,chart1_40_2_0.patch,8,73,0
Chart,1,chart1_40_2_0.patch,9,71,0
Chart,1,chart1_40_2_0.patch,10,67,0
Chart,1,chart1_40_3_0.patch,1,67,0
Chart,1,chart1_40_3_0.patch,2,73,0
Chart,1,chart1_40_3_0.patch,3,71,0
Chart,1,chart1_40_3_0.patch,4,78,0
Chart,1,chart1_40_3_0.patch,5,73,0
Chart,1,chart1_40_3_0.patch,6,67,0
Chart,1,chart1_40_3_0.patch,7,73,0
Chart,1,chart1_40_3_0.patch,8,73,0
Chart,1,chart1_40_3_0.patch,9,71,0
Chart,1,chart1_40_3_0.patch,10,67,0
Chart,1,chart1_40_4_0.patch,1,67,0
Chart,1,chart1_40_4_0.patch,2,73,0
Chart,1,chart1_40_4_0.patch,3,71,0
Chart,1,chart1_40_4_0.patch,4,78,0
Chart,1,chart1_40_4_0.patch,5,73,0
Chart,1,chart1_40_4_0.patch,6,67,0
Chart,1,chart1_40_4_0.patch,7,73,0
Chart,1,chart1_40_4_0.patch,8,73,0
Chart,1,chart1_40_4_0.patch,9,71,0
Chart,1,chart1_40_4_0.patch,10,67,0
Chart,1,chart1_40_5_0.patch,1,67,0
Chart,1,chart1_40_5_0.patch,2,73,0
Chart,1,chart1_40_5_0.patch,3,71,0
Chart,1,chart1_40_5_0.patch,4,78,0
Chart,1,chart1_40_5_0.patch,5,73,0
Chart,1,chart1_40_5_0.patch,6,67,0
Chart,1,chart1_40_5_0.patch,7,73,0
Chart,1,chart1_40_5_0.patch,8,73,0
Chart,1,chart1_40_5_0.patch,9,71,0
Chart,1,chart1_40_5_0.patch,10,67,0
Chart,1,chart1_60_1_0.patch,1,67,0
Chart,1,chart1_60_1_0.patch,2,73,0
Chart,1,chart1_60_1_0.patch,3,71,0
Chart,1,chart1_60_1_0.patch,4,78,0
Chart,1,chart1_60_1_0.patch,5,73,0
Chart,1,chart1_60_1_0.patch,6,67,0
Chart,1,chart1_60_1_0.patch,7,73,0
Chart,1,chart1_60_1_0.patch,8,73,0
Chart,1,chart1_60_1_0.patch,9,71,0
Chart,1,chart1_60_1_0.patch,10,67,0
Chart,1,chart1_60_2_0.patch,1,67,0
Chart,1,chart1_60_2_0.patch,2,73,0
Chart,1,chart1_60_2_0.patch,3,71,0
Chart,1,chart1_60_2_0.patch,4,78,0
Chart,1,chart1_60_2_0.patch,5,73,0
Chart,1,chart1_60_2_0.patch,6,67,0
Chart,1,chart1_60_2_0.patch,7,73,0
Chart,1,chart1_60_2_0.patch,8,73,0
Chart,1,chart1_60_2_0.patch,9,71,0
Chart,1,chart1_60_2_0.patch,10,67,0
Chart,1,chart1_60_3_0.patch,1,67,0
Chart,1,chart1_60_3_0.patch,2,73,0
Chart,1,chart1_60_3_0.patch,3,71,0
Chart,1,chart1_60_3_0.patch,4,78,0
Chart,1,chart1_60_3_0.patch,5,73,0
Chart,1,chart1_60_3_0.patch,6,67,0
Chart,1,chart1_60_3_0.patch,7,73,0
Chart,1,chart1_60_3_0.patch,8,73,0
Chart,1,chart1_60_3_0.patch,9,71,0
Chart,1,chart1_60_3_0.patch,10,67,0
Chart,1,chart1_60_4_0.patch,1,67,0
Chart,1,chart1_60_4_0.patch,2,73,0
Chart,1,chart1_60_4_0.patch,3,71,0
Chart,1,chart1_60_4_0.patch,4,78,0
Chart,1,chart1_60_4_0.patch,5,73,0
Chart,1,chart1_60_4_0.patch,6,67,0
Chart,1,chart1_60_4_0.patch,7,73,0
Chart,1,chart1_60_4_0.patch,8,73,0
Chart,1,chart1_60_4_0.patch,9,71,0
Chart,1,chart1_60_4_0.patch,10,67,0
Chart,1,chart1_60_5_0.patch,1,67,0
Chart,1,chart1_60_5_0.patch,2,73,0
Chart,1,chart1_60_5_0.patch,3,71,0
Chart,1,chart1_60_5_0.patch,4,78,0
Chart,1,chart1_60_5_0.patch,5,73,0
Chart,1,chart1_60_5_0.patch,6,67,0
Chart,1,chart1_60_5_0.patch,7,73,0
Chart,1,chart1_60_5_0.patch,8,73,0
Chart,1,chart1_60_5_0.patch,9,71,0
Chart,1,chart1_60_5_0.patch,10,67,0
Chart,1,chart1_80_1_0.patch,1,67,0
Chart,1,chart1_80_1_0.patch,2,73,0
Chart,1,chart1_80_1_0.patch,3,71,0
Chart,1,chart1_80_1_0.patch,4,78,0
