Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_100_1_seed1_StmtDelete_603.patch,1,88,1
Chart,1,chart1_100_1_seed1_StmtDelete_603.patch,2,85,0
Chart,1,chart1_100_1_seed1_StmtDelete_603.patch,3,73,0
Chart,1,chart1_100_1_seed1_StmtDelete_603.patch,4,82,1
Chart,1,chart1_100_1_seed1_StmtDelete_603.patch,5,76,0
Chart,1,chart1_100_1_seed1_StmtDelete_603.patch,6,83,1
Chart,1,chart1_100_1_seed1_StmtDelete_603.patch,7,82,0
Chart,1,chart1_100_1_seed1_StmtDelete_603.patch,8,69,1
Chart,1,chart1_100_1_seed1_StmtDelete_603.patch,9,79,1
Chart,1,chart1_100_1_seed1_StmtDelete_603.patch,10,77,1
Chart,1,chart1_100_1_seed3_StmtReplace_603_6.patch,1,88,1
Chart,1,chart1_100_1_seed3_StmtReplace_603_6.patch,2,85,0
Chart,1,chart1_100_1_seed3_StmtReplace_603_6.patch,3,73,1
Chart,1,chart1_100_1_seed3_StmtReplace_603_6.patch,4,82,1
Chart,1,chart1_100_1_seed3_StmtReplace_603_6.patch,5,76,1
Chart,1,chart1_100_1_seed3_StmtReplace_603_6.patch,6,83,1
Chart,1,chart1_100_1_seed3_StmtReplace_603_6.patch,7,82,0
Chart,1,chart1_100_1_seed3_StmtReplace_603_6.patch,8,69,2
Chart,1,chart1_100_1_seed3_StmtReplace_603_6.patch,9,79,1
Chart,1,chart1_100_1_seed3_StmtReplace_603_6.patch,10,77,1
Chart,1,chart1_100_1_seed4_StmtReplace_601_2.patch,1,88,1
Chart,1,chart1_100_1_seed4_StmtReplace_601_2.patch,2,85,0
Chart,1,chart1_100_1_seed4_StmtReplace_601_2.patch,3,73,0
Chart,1,chart1_100_1_seed4_StmtReplace_601_2.patch,4,82,1
Chart,1,chart1_100_1_seed4_StmtReplace_601_2.patch,5,76,0
Chart,1,chart1_100_1_seed4_StmtReplace_601_2.patch,6,83,1
Chart,1,chart1_100_1_seed4_StmtReplace_601_2.patch,7,82,0
Chart,1,chart1_100_1_seed4_StmtReplace_601_2.patch,8,69,1
Chart,1,chart1_100_1_seed4_StmtReplace_601_2.patch,9,79,1
Chart,1,chart1_100_1_seed4_StmtReplace_601_2.patch,10,77,1
Chart,1,chart1_100_1_seed7_StmtDelete_601.patch,1,88,1
Chart,1,chart1_100_1_seed7_StmtDelete_601.patch,2,85,0
Chart,1,chart1_100_1_seed7_StmtDelete_601.patch,3,73,0
Chart,1,chart1_100_1_seed7_StmtDelete_601.patch,4,82,1
Chart,1,chart1_100_1_seed7_StmtDelete_601.patch,5,76,0
Chart,1,chart1_100_1_seed7_StmtDelete_601.patch,6,83,1
Chart,1,chart1_100_1_seed7_StmtDelete_601.patch,7,82,0
Chart,1,chart1_100_1_seed7_StmtDelete_601.patch,8,69,1
Chart,1,chart1_100_1_seed7_StmtDelete_601.patch,9,79,1
Chart,1,chart1_100_1_seed7_StmtDelete_601.patch,10,77,1
Chart,1,chart1_100_2_seed1_StmtDelete_603.patch,1,88,1
Chart,1,chart1_100_2_seed1_StmtDelete_603.patch,2,85,0
Chart,1,chart1_100_2_seed1_StmtDelete_603.patch,3,73,0
Chart,1,chart1_100_2_seed1_StmtDelete_603.patch,4,82,1
Chart,1,chart1_100_2_seed1_StmtDelete_603.patch,5,76,0
Chart,1,chart1_100_2_seed1_StmtDelete_603.patch,6,83,1
Chart,1,chart1_100_2_seed1_StmtDelete_603.patch,7,82,0
Chart,1,chart1_100_2_seed1_StmtDelete_603.patch,8,69,1
Chart,1,chart1_100_2_seed1_StmtDelete_603.patch,9,79,1
Chart,1,chart1_100_2_seed1_StmtDelete_603.patch,10,77,1
Chart,1,chart1_100_2_seed5_StmtDelete_602.patch,1,88,1
