Project,Bug,Patch,NumberOfTests,NumberOfFailingTests
Chart,5,chart5_seed11_StmtReplace_135_139.patch,292,0
Chart,5,chart5_seed9_StmtReplace_136_139.patch,292,0
Lang,33,lang33_seed13_StmtReplace_328_320.patch,255,1
Lang,33,lang33_seed14_StmtReplace_327_28.patch,255,1
Lang,33,lang33_seed18_StmtDelete_327.patch,255,1
Lang,33,lang33_seed2_StmtDelete_329.patch,255,1
Lang,33,lang33_seed5_StmtReplace_328_8.patch,255,1
Lang,43,lang43_seed1_StmtDelete_188.patch,7,1
Lang,43,lang43_seed20_StmtReplace_187_33.patch,7,1
Lang,43,lang43_seed2_StmtDelete_187.patch,7,1
Lang,43,lang43_seed8_StmtDelete_189.patch,7,1
Math,50,math50_seed17_StmtReplace_58_81.patch,36,1
Math,50,math50_seed18_StmtReplace_58_45.patch,36,0
Math,50,math50_seed1_StmtDelete_57.patch,36,0
Math,50,math50_seed2_StmtDelete_58.patch,36,0
Math,50,math50_seed4_StmtReplace_57_71.patch,36,1
Math,50,math50_seed5_StmtReplace_57_45.patch,36,0
Math,50,math50_seed6_StmtReplace_57_81.patch,36,1
Math,50,math50_seed7_StmtDelete_56.patch,36,0
Math,50,math50_seed8_StmtReplace_58_59.patch,36,0
Math,53,math53_seed18_StmtAppend_27_106.patch,179,0
Math,81,math81_seed11_StmtReplace_831_794.patch,35,0
Math,81,math81_seed14_StmtReplace_832_918.patch,35,0
Math,81,math81_seed17_StmtReplace_820_513.patch,35,0
Math,81,math81_seed18_StmtReplace_831_878.patch,35,0
Math,81,math81_seed1_StmtDelete_832.patch,35,0
Math,81,math81_seed3_StmtDelete_831.patch,35,0
Math,81,math81_seed4_StmtReplace_831_12.patch,35,0
Math,81,math81_seed9_StmtDelete_833.patch,35,0
