Project,Bug,Patch,NumberOfTests,NumberOfFailingTests
Closure,22,closure22_seed12_ExpressionReplace_36patch.diff.patch,6529,4
Closure,22,closure22_seed1_ExpressionAdd_37patch.diff.patch,6529,4
Closure,22,closure22_seed2_ExpressionReplace_38patch.diff.patch,6529,4
Closure,22,closure22_seed3_ExpressionAdd_36patch.diff.patch,6529,4
Closure,22,closure22_seed4_ExpressionReplace_36patch.diff.patch,6529,4
Closure,22,closure22_seed5_ExpressionAdd_38patch.diff.patch,6529,4
Closure,22,closure22_seed7_ExpressionReplace_18patch.diff.patch,6529,3
Closure,22,closure22_seed9_ExpressionReplace_36patch.diff.patch,6529,4
Math,50,math50_seed11_ExpressionReplace_48patch.diff.patch,36,0
Math,50,math50_seed12_ExpressionAdd_42patch.diff.patch,36,0
Math,50,math50_seed13_ExpressionAdd_48patch.diff.patch,36,0
Math,50,math50_seed1_ExpressionReplace_48patch.diff.patch,36,0
Math,50,math50_seed20_ExpressionReplace_42patch.diff.patch,36,0
Math,50,math50_seed2_ExpressionAdd_56patch.diff.patch,36,1
Math,50,math50_seed3_ExpressionAdd_56patch.diff.patch,36,1
Math,50,math50_seed5_ExpressionAdd_56patch.diff.patch,36,0
Math,50,math50_seed6_ExpressionAdd_56patch.diff.patch,36,0
